Tag #,Litter type,treatment,Replicate,Initial_Bag Mass (g),Initial_Litter Mass (g),Initial_Total Bag + Litter Mass (g),4 week mass (with bag),12 week mass (with bag) ,6 month mass (with bag),12 month mass (with bag)
803,Pine,Pine,5,9.68,6.58,16.26,not yet collected,not yet collected,not yet collected,not yet collected
804,Morella,Morella,3,10,7.54,17.54,not yet collected,not yet collected,not yet collected,not yet collected
806,Morella,Morella,5,9.81,7.44,17.25,not yet collected,not yet collected,not yet collected,not yet collected
811,Morella,Phragmites,3,10.05,7.44,17.49,not yet collected,not yet collected,not yet collected,not yet collected
816,Phragmites,Phragmites,3,9.75,4.16,13.91,not yet collected,not yet collected,not yet collected,not yet collected
817,Phragmites,Morella,1,9.54,4.11,13.65,not yet collected,not yet collected,not yet collected,not yet collected
824,Morella,Pine,4,9.81,6.38,16.19,not yet collected,not yet collected,not yet collected,not yet collected
834,Morella,Phragmites,3,9.78,7.46,17.24,not yet collected,not yet collected,not yet collected,not yet collected
841,Morella,Pine,1,10.01,7.48,17.49,not yet collected,not yet collected,not yet collected,not yet collected
843,Morella,Pine,5,9.34,7.56,16.9,not yet collected,not yet collected,not yet collected,not yet collected
845,Phragmites,Morella,3,9.29,4.27,13.56,not yet collected,not yet collected,not yet collected,not yet collected
846,Phragmites,Phragmites,3,10.16,4.43,14.59,not yet collected,not yet collected,not yet collected,not yet collected
847,Phragmites,Pine,5,9.99,4.35,14.34,not yet collected,not yet collected,not yet collected,not yet collected
852,Phragmites,Pine,1,9.95,4.57,14.52,not yet collected,not yet collected,not yet collected,not yet collected
989,Morella,Morella,1,9.44,7.55,16.99,not yet collected,not yet collected,not yet collected,not yet collected
997,Morella,Phragmites,3,10.41,7.46,17.87,not yet collected,not yet collected,not yet collected,not yet collected
998,Phragmites,Pine,4,10.32,4.55,14.87,not yet collected,not yet collected,not yet collected,not yet collected
508,Pine,Phragmites,3,9.39,6.35,15.74,not yet collected,not yet collected,not yet collected,not yet collected
